brand_key,n_malls_araneta,n_malls_ayala,n_malls_filinvest,n_malls_fishermall,n_malls_megaworld,n_malls_ortigas,n_malls_robinsons,n_malls_sm,n_malls_starmall,n_malls_waltermart,n_malls_total,n_chains,in_all_chains,in_multiple_chains,display_name
tokyo,0,9,1,0,5,2,6,8,0,0,31,6,False,True,@TOKYO
yellow cab,0,7,0,1,1,0,1,21,0,0,31,5,False,True,YELLOW CAB
vans,1,11,1,0,0,1,8,9,0,0,31,6,False,True,VANS
beautederm,0,3,0,0,0,0,6,22,0,0,31,3,False,True,BEAUTEDERM
happy skin,1,7,1,0,2,0,2,17,0,0,30,6,False,True,HAPPY SKIN
sbarro,0,5,1,1,2,2,4,15,0,0,30,7,False,True,SBARRO
coffee bean tea leaf,0,0,0,0,0,0,0,30,0,0,30,1,False,False,THE COFFEE BEAN TEA LEAF
mesa,0,10,1,1,2,1,3,12,0,0,30,7,False,True,MESA
aldo,0,11,0,0,3,1,2,13,0,0,30,5,False,True,ALDO
kidzooona,0,4,0,0,0,0,4,22,0,0,30,3,False,True,KIDZOOONA
imono,1,0,1,2,1,0,4,21,0,0,30,6,False,True,IMONO
asprey time,0,0,0,0,0,0,0,30,0,0,30,1,False,False,ASPREY TIME
converse,1,13,1,0,4,1,8,2,0,0,30,7,False,True,CONVERSE
scents co,0,10,0,1,0,0,13,6,0,0,30,4,False,True,THE SCENTS CO.
gubys chicharon espesyal,0,0,0,0,0,0,0,29,0,0,29,1,False,False,GUBY'S CHICHARON ESPESYAL
happy brows,0,7,0,0,1,0,3,18,0,0,29,4,False,True,HAPPY BROWS
alibaba,0,0,1,0,0,0,2,23,0,3,29,4,False,True,ALIBABA
mary grace,0,4,0,0,7,2,7,6,0,3,29,6,False,True,Mary Grace
serenitea,0,7,0,0,3,2,4,13,0,0,29,5,False,True,SERENITEA
bench fix salon,0,0,0,0,1,0,2,26,0,0,29,3,False,True,BENCH FIX SALON
sm hypermarket,0,0,0,0,1,0,0,27,0,0,28,2,False,True,SM HYPERMARKET
blk 513,0,6,1,0,3,0,3,15,0,0,28,5,False,True,BLK 513
bdo atm,0,0,1,0,11,0,8,6,1,1,28,6,False,True,BDO ATM
mesa filipino moderne,0,0,0,0,0,0,0,28,0,0,28,1,False,False,MESA FILIPINO MODERNE
buko ni fruitas,0,3,1,1,1,0,3,19,0,0,28,6,False,True,BUKO NI FRUITAS
anker,0,4,0,0,4,1,2,17,0,0,28,5,False,True,ANKER
fruity lemons,0,0,0,0,0,0,0,24,0,4,28,2,False,True,FRUITY LEMONS
