brand_key,display_name,chain,mall_id,mall_name,region
gabriel archangel toddler playschool,GABRIEL ARCHANGEL TODDLER PLAYSCHOOL,sm,sm-city-dasmarinas,SM City Dasmariñas,south-luzon
gab pigmentation,GAB PIGMENTATION,fishermall,malabon,Fisher Mall Malabon,metro-manila
g3r repair shop,G3R REPAIR SHOP,sm,sm-city-san-pablo,SM City San Pablo,south-luzon
furry trail crawlers,FURRY TRAIL CRAWLERS,robinsons,robinsons-metro-east,Robinsons Metro East,metro-manila
funtours tecketing services,FUNTOURS TECKETING SERVICES,robinsons,robinsons-butuan,Robinsons Place Butuan,mindanao
funtopia park,FUNTOPIA PARK,robinsons,opus,Opus Mall,metro-manila
funtasia kids club,Funtasia Kids Club,megaworld,newport-city,Newport City,metro-manila
funhan mart,Funhan Mart,megaworld,mckinley-west,McKinley West,metro-manila
fundador,Fundador,megaworld,venice-grand-canal-mall,Venice Grand Canal Mall,metro-manila
glamoureux hair salon,GLAMOUREUX HAIR SALON,ayala,ayala-legazpi,Ayala Malls Legazpi,south-luzon
glamour lounge,GLAMOUR LOUNGE (Soon to Open),robinsons,robinsons-pagadian,Robinsons Pagadian,mindanao
glam u salon,GLAM U SALON,sm,sm-city-consolacion,SM City Consolacion,visayas
glam aesthetic,GLAM AESTHETIC,robinsons,robinsons-bacolod,Robinsons Place Bacolod,visayas
gladex travel services,GLADEX TRAVEL SERVICES,sm,sm-city-manila,SM City Manila,metro-manila
gladex travel and tours,GLADEX TRAVEL AND TOURS,robinsons,robinsons-manila,Robinsons Place Manila,metro-manila
gladex travel & tours,Gladex Travel & Tours,megaworld,lucky-chinatown-mall,Lucky Chinatown Mall,metro-manila
glad king,Glad King,robinsons,robinsons-galleria-ortigas,Robinsons Galleria,metro-manila
gizmo central 2,Gizmo Central 2,ortigas,greenhills,Greenhills,metro-manila
givenchy,GIVENCHY,ayala,ayala-greenbelt,Greenbelt,metro-manila
fun dkit stick and print works,FUN-DKIT STICK AND PRINT WORKS,sm,sm-city-legazpi,SM City Legazpi,south-luzon
fun box mobile,FUN BOX MOBILE,starmall,alabang,Starmall Alabang,metro-manila
fulloracharm,FulloraCharm,megaworld,eastwood-city-walk,Eastwood City Walk,metro-manila
fulcrum coffee,FULCRUM COFFEE,sm,sm-city-butuan,SM City Butuan,mindanao
fuji shin,FUJI-SHIN,robinsons,robinsons-manila,Robinsons Place Manila,metro-manila
glow,Glow,megaworld,uptown-mall,Uptown Mall,metro-manila
glorys empanada,GLORYS EMPANADA,sm,sm-city-sta-mesa,SM City Sta. Mesa,metro-manila
glomys empanada,Glomy's Empanada,robinsons,robinsons-ilocos,Robinsons Place Ilocos,north-luzon
globewest finance corp,Globewest Finance Corp.,megaworld,festive-walk-parade,Festive Walk Parade,visayas
globe touchpay,Globe TouchPay,megaworld,three-central,Three Central Mall,metro-manila
globe 211,GLOBE 211,robinsons,robinsons-dumaguete,Robinsons Place Dumaguete,visayas
global headstart,Global Headstart,fishermall,quezonave,Fisher Mall Quezon Avenue,metro-manila
global art philippines,Global Art Philippines,megaworld,alabang-west-parade,Alabang West Parade,metro-manila
glenas enterprises,GLENAS ENTERPRISES,sm,sm-center-pasig,SM Center Pasig,metro-manila
fusion outlet store,FUSION OUTLET STORE,starmall,edsa-shaw,Starmall EDSA-Shaw,metro-manila
fusion,FUSION,starmall,alabang,Starmall Alabang,metro-manila
go bento,Go Bento,robinsons,robinsons-galleria-ortigas,Robinsons Galleria,metro-manila
gnos pika pika,GNO's Pika Pika,fishermall,quezonave,Fisher Mall Quezon Avenue,metro-manila
gnb collectibles hangout,GNB Collectibles Hangout,araneta,ali-mall,Ali Mall,metro-manila
gnarly,Gnarly,ortigas,greenhills,Greenhills,metro-manila
gml hongkong style fried noodles,GML-HONGKONG STYLE FRIED NOODLES,sm,sm-city-lipa,SM City Lipa,south-luzon
gmel cellphone repair shop,Gmel Cellphone Repair Shop,araneta,farmers-plaza,Farmers Plaza,metro-manila
gm time,GM-TIME,sm,sm-city-grand-central,SM City Grand Central,metro-manila
gm education,GM Education,megaworld,venice-grand-canal-mall,Venice Grand Canal Mall,metro-manila
glutaness wellness and beauty center,GLUTANESS WELLNESS AND BEAUTY CENTER,sm,sm-city-olongapo-downtown,SM City Olongapo Downtown,north-luzon
glutahome aesthetic,THE GLUTAHOME AESTHETIC,robinsons,robinsons-lipa,Robinsons Place Lipa,south-luzon
gluta republiq,Gluta Republiq,robinsons,robinsons-galleria-cebu,Robinsons Galleria Cebu,visayas
gluta homes,Gluta Homes,robinsons,robinsons-lipa,Robinsons Place Lipa,south-luzon
gluta drip,THE GLUTA DRIP,robinsons,robinsons-antipolo,Robinsons Place Antipolo,metro-manila
glow up aesthetic clinic,GLOW UP AESTHETIC CLINIC_,ayala,ayala-feliz,Ayala Malls Feliz,metro-manila
glow up,Glow Up,robinsons,robinsons-luisita,Robinsons Luisita,north-luzon
fun time family entertainment center,FUN TIME FAMILY ENTERTAINMENT CENTER,robinsons,robinsons-iloilo,Robinsons Place Iloilo,visayas
gold star,Gold Star,robinsons,robinsons-tacloban,Robinsons Place Tacloban,visayas
gold n gems,Gold N Gems,ortigas,greenhills,Greenhills,metro-manila
gold lounge,Gold Lounge,ortigas,estancia,Estancia,metro-manila
gold buyers,Gold Buyers,araneta,farmers-plaza,Farmers Plaza,metro-manila
gold and pearls,GOLD AND PEARLS,sm,sm-city-clark,SM City Clark,north-luzon
gold accent jewelry by jrose,GOLD ACCENT JEWELRY BY JROSE,sm,sm-city-davao,SM City Davao,mindanao
gogo gadgets,Gogo Gadgets,ortigas,greenhills,Greenhills,metro-manila
godies trading,Godie's Trading,waltermart,gapan,WalterMart Gapan,north-luzon
gochugang,Gochugang,robinsons,robinsons-magnolia,Robinsons Magnolia,metro-manila
go silog,Go Silog,robinsons,robinsons-pavia,Robinsons Place Pavia,visayas
go pedal ph,Go Pedal Ph,megaworld,arcovia-city,Arcovia City,metro-manila
go mobile enterprise,Go Mobile Enterprise,waltermart,plaridel,WalterMart Plaridel,north-luzon
go hotels,Go Hotels,robinsons,robinsons-otis,Robinsons Otis,metro-manila
go gym,Go Gym,megaworld,venice-grand-canal-mall,Venice Grand Canal Mall,metro-manila
go ginataan,GO GINATAAN,sm,sm-city-sta-mesa,SM City Sta. Mesa,metro-manila
go berry blended smoothies,GO BERRY BLENDED SMOOTHIES,sm,sm-city-la-union,SM City La Union,north-luzon
fuentes optical,Fuentes Optical,robinsons,robinsons-tacloban,Robinsons Place Tacloban,visayas
fubu,FUBU,starmall,alabang,Starmall Alabang,metro-manila
ftv cosmetics,FTV Cosmetics,megaworld,newport-city,Newport City,metro-manila
frying chicken x bokki bokki,FRYING CHICKEN X BOKKI BOKKI,robinsons,robinsons-gapan,Robinsons Gapan,north-luzon
frutesca,FRUTESCA,ayala,ayala-market-market,Market! Market!,metro-manila
frutas,FRUTAS,robinsons,robinsons-starmills,Robinsons Starmills,north-luzon
fruity blendz,FRUITY BLENDZ (0967-316-0637),robinsons,robinsons-la-union,Robinsons Place La Union,north-luzon
fruity blends,FRUITY BLENDS,robinsons,robinsons-la-union,Robinsons Place La Union,north-luzon
fruits to go,Fruits To Go,robinsons,robinsons-bacolod,Robinsons Place Bacolod,visayas
fruitfull smoothies and juices,FRUITFULL SMOOTHIES AND JUICES,robinsons,robinsons-iloilo,Robinsons Place Iloilo,visayas
fruiteria,Fruiteria,ortigas,estancia,Estancia,metro-manila
golden hills jewelry,GOLDEN HILLS JEWELRY,sm,sm-city-clark,SM City Clark,north-luzon
golden haven,GOLDEN HAVEN,starmall,san-jose-del-monte,Starmall San Jose del Monte,north-luzon
golden crest arts & frames,GOLDEN CREST ARTS & FRAMES,ayala,ayala-glorietta,Glorietta,metro-manila
golden catch,The Golden Catch,robinsons,robinsons-magnolia,Robinsons Magnolia,metro-manila
golden bowl dimsum express,GOLDEN BOWL DIMSUM EXPRESS,sm,sm-city-cebu,SM City Cebu,visayas
good vibes massage pwd corp,Good Vibes Massage PWD Corp.,robinsons,robinsons-galleria-cebu,Robinsons Galleria Cebu,visayas
good steward,THE GOOD STEWARD,sm,sm-city-clark,SM City Clark,north-luzon
good soles ph,GOOD SOLES PH,robinsons,robinsons-galleria-ortigas,Robinsons Galleria,metro-manila
good noodle korean food mart,Good-Noodle Korean Food Mart,megaworld,san-lorenzo-place-mall,San Lorenzo Place Mall,metro-manila
good luck hotpot,Good Luck Hotpot,ortigas,greenhills,Greenhills,metro-manila
good kause,GOOD KAUSE,ayala,ayala-centrio,Centrio Mall,mindanao
good farmer,THE GOOD FARMER,ayala,ayala-solenad,Ayala Malls Nuvali,south-luzon
good bread by el cielito hotels,GOOD BREAD BY EL CIELITO HOTELS,sm,sm-city-baguio,SM City Baguio,north-luzon
good barber,THE GOOD BARBER,robinsons,robinsons-galleria-ortigas,Robinsons Galleria,metro-manila
gong cha i,GONG CHA I 0920-227-9471,robinsons,robinsons-ormoc,Robinsons Place Ormoc,visayas
gong cha (open,Gong Cha (OPEN},robinsons,robinsons-lipa,Robinsons Place Lipa,south-luzon
goldsight telecoms,GOLDSIGHT TELECOMS,sm,sm-city-clark,SM City Clark,north-luzon
goldilocks i,Goldilocks I 0908-820-2733,robinsons,robinsons-ormoc,Robinsons Place Ormoc,visayas
golden phoniex,Golden Phoniex,ortigas,greenhills,Greenhills,metro-manila
golden monkey,Golden Monkey,ortigas,greenhills,Greenhills,metro-manila
golden lady,GOLDEN LADY,sm,sm-megamall,SM Megamall,metro-manila
fruitas & jamaican,FRUITAS & JAMAICAN,robinsons,galleria-south,Robinsons Galleria South,south-luzon
fruitachillos,FRUITACHILLOS,robinsons,robinsons-palawan,Robinsons Place Palawan,south-luzon
frito fries,FRITO FRIES,sm,sm-city-clark,SM City Clark,north-luzon
frigga charmed life,FRIGGA CHARMED LIFE,sm,sm-seaside-city-cebu,SM Seaside City Cebu,visayas
fries pa more,FRIES PA MORE,robinsons,robinsons-palawan,Robinsons Place Palawan,south-luzon
fries guys,FRIES GUYS,ayala,ayala-capitol-central,Ayala Malls Capitol Central,visayas
fries and benefits,FRIES AND BENEFITS,robinsons,robinsons-naga,Robinsons Place Naga,south-luzon
friendlycare,FRIENDLYCARE,robinsons,robinsons-novaliches,Robinsons Novaliches,metro-manila
goto asia,GOTO ASIA,starmall,alabang,Starmall Alabang,metro-manila
got game,GOT GAME,sm,sm-jmall,SM J Mall,visayas
