chain,mall_id,mall_name,region,address,mall_code,source_url,property_type,lat,lon,geo_source,geo_precision,scraped_at
robinsons,robinsons-roxas,Robinsons Place Roxas,visayas,"Immaculate Heart of Mary Avenue, Pueblo de Panay, Brgy. Lawa-an, Roxas City",,https://robinsonsmalls.com/mall-info/robinsons-place-roxas,mall,11.568829,122.751679,osm,exact,2026-09-01
robinsons,robinsons-tacloban,Robinsons Place Tacloban,visayas,"Tabuan National Highway, Marasbaras, Tacloban City",,https://robinsonsmalls.com/mall-info/robinsons-place-tacloban,mall,11.207941,125.007592,osm,exact,2026-09-01
ayala,ayala-abreeza,Abreeza,mindanao,"J.P. Laurel Ave., Davao City",9,https://www.ayalamalls.com/explore/mall-directory/ayala-abreeza,mall,7.091,125.61,operator,exact,2026-09-01
ayala,ayala-bonifacio-high-street,Bonifacio High Street,metro-manila,"Bonifacio Global City, Taguig",20,https://www.ayalamalls.com/explore/mall-directory/ayala-bonifacio-high-street,mall,14.5507,121.0505,operator,exact,2026-09-01
ayala,ayala-capitol-central,Ayala Malls Capitol Central,visayas,"Gatuslao Street, Bacolod City",15,https://www.ayalamalls.com/explore/mall-directory/ayala-capitol-central,mall,10.677097,122.95013,operator,exact,2026-09-01
ayala,ayala-center-cebu,Ayala Center Cebu,visayas,"Cebu Business Park, Archbishop Reyes Ave. Cebu City 6000",6,https://www.ayalamalls.com/explore/mall-directory/ayala-center-cebu,mall,10.3181,123.9053,operator,exact,2026-09-01
ayala,ayala-centrio,Centrio Mall,mindanao,"Centrio Mall, CM Recto – Corrales Avenue, Cagayan de Oro City 9000",10,https://www.ayalamalls.com/explore/mall-directory/ayala-centrio,mall,8.484821,124.651085,operator,exact,2026-09-01
ayala,ayala-circuit,Ayala Malls Circuit,metro-manila,"Ayala Malls Circuit, Circuit Makati, Hippodromo, Carmona, Makati City",25,https://www.ayalamalls.com/explore/mall-directory/ayala-circuit,mall,14.573,121.0193,operator,exact,2026-09-01
ayala,ayala-cloverleaf,Ayala Malls Cloverleaf,metro-manila,"Ayala Malls Cloverleaf, A. Bonifacio Ave., Brgy. Balingasa, Quezon City",12,https://www.ayalamalls.com/explore/mall-directory/ayala-cloverleaf,mall,14.655776,121.00012,operator,exact,2026-09-01
ayala,ayala-fairview-mall,Fairview Terraces,metro-manila,"Quirino Highway corner Maligaya Drive, Barangay Pasong Putik Novaliches, Quezon City 1118",28,https://www.ayalamalls.com/explore/mall-directory/ayala-fairview-mall,mall,14.7358,121.0602,operator,exact,2026-09-01
ayala,ayala-feliz,Ayala Malls Feliz,metro-manila,"Amang Rodriguez cor. J.P. Rizal, Brgy. Dela Paz, Pasig City",13,https://www.ayalamalls.com/explore/mall-directory/ayala-feliz,mall,14.620233,121.09417,operator,exact,2026-09-01
ayala,ayala-glorietta,Glorietta,metro-manila,"Glorietta, Ayala Center, Makati City",1,https://www.ayalamalls.com/explore/mall-directory/ayala-glorietta,mall,14.551558,121.02619,operator,exact,2026-09-01
ayala,ayala-greenbelt,Greenbelt,metro-manila,"Greenbelt Mall, Legazpi Street, Makati City",4,https://www.ayalamalls.com/explore/mall-directory/ayala-greenbelt,mall,14.5529,121.021,operator,exact,2026-09-01
ayala,ayala-harbor-point,Harbor Point,north-luzon,"Subic Bay, Rizal Highway, Subic Bay Freeport Zone, 2200 Zambales",30,https://www.ayalamalls.com/explore/mall-directory/ayala-harbor-point,mall,14.825,120.2804,operator,exact,2026-09-01
ayala,ayala-legazpi,Ayala Malls Legazpi,south-luzon,"Rizal Street corner Quezon Ave., Barangay Capantawan, Legazpi City, Albay 4500",32,https://www.ayalamalls.com/explore/mall-directory/ayala-legazpi,mall,13.1473,123.7526,operator,exact,2026-09-01
ayala,ayala-malls-central-bloc,Ayala Malls Central Bloc,visayas,"I. Villa Street, Cebu IT Park, Cebu City",34,https://www.ayalamalls.com/explore/mall-directory/ayala-malls-central-bloc,mall,10.3307,123.9074,operator,exact,2026-09-01
ayala,ayala-manila-bay,Ayala Malls Manila Bay,metro-manila,"Macapagal Blvd cor. Aseana Avenue, Paranaque City",18,https://www.ayalamalls.com/explore/mall-directory/ayala-manila-bay,mall,14.5245,120.9897,operator,exact,2026-09-01
ayala,ayala-marikina,Ayala Malls Marikina,metro-manila,"Liwasang Kalayaan, Brgy. Marikina Heights, Marikina City",14,https://www.ayalamalls.com/explore/mall-directory/ayala-marikina,mall,14.6486,121.116,operator,exact,2026-09-01
ayala,ayala-market-market,Market! Market!,metro-manila,"McKinley Parkway, Bonifacio Global City, Taguig 1634",7,https://www.ayalamalls.com/explore/mall-directory/ayala-market-market,mall,14.5491,121.0559,operator,exact,2026-09-01
ayala,ayala-marquee,MarQuee Mall,north-luzon,"MarQuee Mall, Francisco G. Nepomuceno Avenue, Angeles City, Pampanga 2009",3,https://www.ayalamalls.com/explore/mall-directory/ayala-marquee,mall,15.1631,120.6097,operator,exact,2026-09-01
ayala,ayala-metropoint,Metro Point Mall,metro-manila,"Metropoint Mall, EDSA Corner Taft Avenue and Zamora Street, Pasay City, Metro Manila",36,https://www.ayalamalls.com/explore/mall-directory/ayala-metropoint,mall,14.538,121.0013,operator,exact,2026-09-01
ayala,ayala-one-bonifacio-high-street,One Bonifacio High Street,metro-manila,"5th Ave. Corner 28th BGC, Taguig City Located along 5th Ave. beside PSE Building Near The Shangri-La at The Fort and The Mind Museum",35,https://www.ayalamalls.com/explore/mall-directory/ayala-one-bonifacio-high-street,mall,14.551,121.0474,operator,exact,2026-09-01
ayala,ayala-pavilion,Pavilion Mall,south-luzon,"Ayala Pavilion Mall Bldg. A, Binan, Laguna",19,https://www.ayalamalls.com/explore/mall-directory/ayala-pavilion,mall,14.32726,121.088187,osm,exact,2026-09-01
ayala,ayala-serendra,Shops at Serendra,metro-manila,"Serendra, 11th Ave., Bonifacio Global City, Taguig",16,https://www.ayalamalls.com/explore/mall-directory/ayala-serendra,mall,14.5496,121.0535,operator,exact,2026-09-01
